업체명,카테고리명,필지고유번호,시도명,시군구명,읍면동명,리명,번지,법정동코드,행정동코드,도로명코드,도로명,도로명상세,경도,위도,폐업여부,전화번호,홈페이지주소,주차가능여부,화장실유무,화장실타입,수유실유무,물품보관함유무,유아거치대유무,휠체어이동가능여부,점자유도로유무,등록일자
씨사이드모텔,숙박/휴양,2.64E+18,부산광역시,강서구,명지동,,1502-2,2644010400,2644053500,2.64E+11,르노삼성대로,566,128.9277224,35.09830653,N,051-271-3125,http://naver.me/Gfa3keGi,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
비엠텔모텔,숙박/휴양,2.64E+18,부산광역시,강서구,명지동,,1526-14,2644010400,2644053500,2.64E+11,르노삼성대로,576-2,128.9280048,35.0989531,N,051-271-1511,http://naver.me/5lZGVMu7,Y,Y,"공용,내부",N,N,N,Y,N,2021-10-26
브라운도트호텔 명지점,숙박/휴양,2.64E+18,부산광역시,강서구,명지동,,1526-3,2644010400,2644053500,2.64E+11,르노삼성대로,576-6,128.92803,35.09919408,N,051-271-3777,https://browndot1.modoo.at,Y,Y,"공용,내부",N,N,N,N,N,2021-10-08
넘버25호텔,숙박/휴양,2.64E+18,부산광역시,강서구,명지동,,02-Feb,2644010400,2644053500,2.64E+11,명지국제2로28번길,7,128.9081885,35.09402639,N,,http://naver.me/x6PtYui2,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
더포인트호텔,숙박/휴양,2.64E+18,부산광역시,강서구,명지동,,03-Feb,2644010400,2644053500,2.64E+11,명지국제2로28번길,8,128.908121,35.09340432,N,051-934-8600,http://naver.me/FcaXWW54,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
호텔오유,숙박/휴양,2.64E+18,부산광역시,강서구,명지동,,Sep-89,2644010400,2644053500,2.64E+11,명지국제6로,21,128.9017599,35.09218239,N,051-911-5566,http://hotelou.kr,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
오이아호텔명지,숙박/휴양,2.64E+18,부산광역시,강서구,명지동,,Feb-82,2644010400,2644053500,2.64E+11,명지국제6로1번길,24,128.9001002,35.093931,N,051-207-1202,https://bsoiahotel.modoo.at,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
씨엘오션호텔,숙박/휴양,2.64E+18,부산광역시,강서구,명지동,,Sep-92,2644010400,2644053500,2.64E+11,명지국제6로34번길,22,128.9020713,35.09073409,N,051-271-8686,cohotel.modoo.at,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
신라스테이,숙박/휴양,2.64E+18,부산광역시,강서구,명지동,,Jan-95,2644010400,2644053500,2.64E+11,명지국제7로,38,128.9052621,35.09670494,N,051-661-9000,https://www.shillastay.com/,Y,Y,"공용,내부",N,N,N,N,N,2021-11-22
넘버25호텔 명지오션시티점 비즈니스,숙박/휴양,2.64E+18,부산광역시,강서구,명지동,,Jun-37,2644010400,2644054500,2.64E+11,명지오션시티3로,41,128.9029945,35.08047764,N,051-271-6566,http://naver.me/GLK4JPzg,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
오션시티호텔,숙박/휴양,2.64E+18,부산광역시,강서구,명지동,,Apr-37,2644010400,2644054500,2.64E+11,명지오션시티3로,37,128.9029961,35.08091563,N,051-271-0023,https://mjoceancity.modoo.at,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
사이버모텔,숙박/휴양,2.64E+18,부산광역시,강서구,명지동,,Oct-39,2644010400,2644054500,2.64E+11,명지오션시티5로,18,128.9042159,35.08268928,N,051-271-4411,http://naver.me/5vILtjGn,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
호텔프렌치코드,숙박/휴양,2.64E+18,부산광역시,강서구,명지동,,3239-15,2644010400,2644054500,2.64E+11,명지오션시티5로,8,128.9042136,35.08361971,N,051-271-2563,http://naver.me/xqfCdpFT,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
레전드호텔,숙박/휴양,2.64E+18,부산광역시,강서구,미음동,,1527-1,2644011500,2644056000,2.64E+11,미음산단5로,48,128.8639555,35.15964789,N,051-941-8688,http://instagram.com/legend_busan,Y,Y,"공용,내부",N,N,N,N,N,2021-09-23
마글램핑장,문화관광/명소,2.64E+18,부산광역시,강서구,범방동,,1833,2644011600,2644056000,2.64E+11,가락대로,929,128.8790459,35.1535571,Y,,,,,,,,,,,2021-10-28
베스트루이스해밀턴호텔 서부산점,숙박/휴양,2.64E+18,부산광역시,강서구,범방동,,1899-5,2644011600,2644056000,2.64E+11,범방3로29번길,6,128.8788042,35.1468498,N,051-660-6901,http://www.bestlouishamilton.com,Y,Y,"공용,내부",N,N,N,N,N,2021-09-23
장항펜션,숙박/휴양,2.64E+18,부산광역시,강서구,성북동,,1322,2644011900,2644058000,2.64E+11,가덕해안로,339,128.8064334,35.05567769,Y,,,,,,,,,,,2021-09-27
대한상공회의소부산인력개발원,숙박/휴양,2.64E+18,부산광역시,강서구,송정동,,1591-7,2644010900,2644056000,2.64E+11,녹산산단289로,25,128.8488466,35.09132893,Y,,,,,,,,,,,2021-10-28
성고개산장,숙박/휴양,2.64E+18,부산광역시,강서구,송정동,,103,2644010900,2644056000,2.64E+11,신촌소류지길,15-28,128.8530819,35.11083486,N,051-832-0055,http://naver.me/FMANaTQT,Y,Y,"공용,내부",N,N,N,N,N,2021-09-16
벨라지오모텔,숙박/휴양,2.64E+18,부산광역시,강서구,신호동,,213-5,2644011700,2644056000,2.64E+11,신호산단1로217번길,7,128.8811579,35.086613,N,051-831-9197,http://naver.me/5oQnCQ6U,Y,Y,"공용,내부",N,N,N,N,N,2021-09-14
IW모텔,숙박/휴양,2.64E+18,부산광역시,강서구,신호동,,213-1,2644011700,2644056000,2.64E+11,신호산단1로217번길,19,128.8802745,35.08660413,N,051-831-2460,http://naver.me/G7KpvCJu,Y,Y,"공용,내부",N,N,N,N,N,2021-09-14
호텔더메이,숙박/휴양,2.64E+18,부산광역시,강서구,신호동,,216-5,2644011700,2644056000,2.64E+11,신호산단1로217번길,27,128.8793305,35.08661568,N,051-831-2610,https://busanhotelthemay.modoo.at,Y,Y,"공용,내부",N,N,N,N,N,2021-09-14
2월호텔,숙박/휴양,2.64E+18,부산광역시,강서구,신호동,,216-3,2644011700,2644056000,2.64E+11,신호산단1로217번길,31,128.8789326,35.0866038,N,051-972-2828,http://www.hotel2gs.com,Y,Y,"공용,내부",N,N,N,N,N,2021-09-14
S모텔,숙박/휴양,2.64E+18,부산광역시,강서구,신호동,,216,2644011700,2644056000,2.64E+11,신호산단1로217번길,37,128.878301,35.08661107,N,051-832-0128,http://s-motel.co.kr,Y,Y,"공용,내부",N,N,N,N,N,2021-09-14
블랑비즈니스호텔,숙박/휴양,2.64E+18,부산광역시,강서구,신호동,,214-8,2644011700,2644056000,2.64E+11,신호산단1로217번길,10,128.8813332,35.0869795,N,051-973-8590,http://naver.me/xpPZuj9I,Y,Y,"공용,내부",N,N,N,N,N,2021-09-14
까르페호텔,숙박/휴양,2.64E+18,부산광역시,강서구,신호동,,213-3,2644011700,2644056000,2.64E+11,신호산단1로217번길,15,128.8807388,35.08661741,N,051-941-4430,http://naver.me/xw6Iyuc1,Y,Y,"공용,내부",N,N,N,N,N,2021-09-14
호텔에그,숙박/휴양,2.64E+18,부산광역시,강서구,신호동,,216-2,2644011700,2644056000,2.64E+11,신호산단1로217번길,33,128.8786857,35.0866149,N,051-831-9798,http://naver.me/5Q4m2LmH,Y,Y,"공용,내부",N,N,N,N,N,2021-09-14
2월호텔 강서신관,숙박/휴양,2.64E+18,부산광역시,강서구,신호동,,214-9,2644011700,2644056000,2.64E+11,신호산단1로217번길,12,128.8810578,35.08700356,N,051-832-2223,http://www.hotel2gsn.com,Y,Y,"공용,내부",N,N,N,N,N,2021-09-14
모모까르페호텔,숙박/휴양,2.64E+18,부산광역시,강서구,신호동,,213-3,2644011700,2644056000,2.64E+11,신호산단1로217번길,15,128.8807388,35.08661741,Y,051-832-1180,,,,,,,,,,2021-09-14
브라운도트호텔,숙박/휴양,2.64E+18,부산광역시,강서구,신호동,,317-2,2644011700,2644056000,2.64E+11,신호산단1로72번길,33,128.8707373,35.08331539,N,051-714-2556,https://browndotshinho.modoo.at,Y,Y,"공용,내부",N,N,N,N,N,2021-09-14
더브레인호텔,숙박/휴양,2.64E+18,부산광역시,강서구,신호동,,315-4,2644011700,2644056000,2.64E+11,신호산단1로72번길,58,128.8722958,35.08173773,N,051-271-7000,https://모두의주문.com/050353390688,Y,Y,"공용,내부",N,N,N,N,N,2021-09-14
호텔더원,숙박/휴양,2.64E+18,부산광역시,강서구,신호동,,317-5,2644011700,2644056000,2.64E+11,신호산단1로72번길,41,128.8709693,35.08289233,N,051-831-5646,https://hoteltheone.modoo.at/?link=288ows6w,Y,Y,"공용,내부",N,N,N,N,N,2021-09-14
V호텔,숙박/휴양,2.64E+18,부산광역시,강서구,신호동,,213-8,2644011700,2644056000,2.64E+11,신호산단2로27번길,33,128.8807192,35.08639646,N,051-831-1105,http://naver.me/56I0AIDU,Y,Y,"공용,내부",N,N,N,N,N,2021-09-13
비지니스호텔,숙박/휴양,2.64E+18,부산광역시,강서구,신호동,,213-6,2644011700,2644056000,2.64E+11,신호산단2로27번길,41,128.8811301,35.08639259,N,051-941-1929,http://naver.me/xuI5zfmT,Y,Y,"공용,내부",N,N,N,N,N,2021-09-13
펀모텔,숙박/휴양,2.64E+18,부산광역시,강서구,신호동,,213-11,2644011700,2644056000,2.64E+11,신호산단2로27번길,27,128.8801047,35.08638903,N,,http://naver.me/GmFiTAih,Y,Y,"공용,내부",N,N,N,N,N,2021-09-13
브이모텔,숙박/휴양,2.64E+18,부산광역시,강서구,신호동,,213-8,2644011700,2644056000,2.64E+11,신호산단2로27번길,33,128.8807306,35.08639751,Y,,,,,,,,,,,2021-09-13
이그니스호텔,숙박/휴양,2.64E+18,부산광역시,강서구,신호동,,216-7,2644011700,2644056000,2.64E+11,신호산단2로27번길,21,128.8793003,35.08637727,N,051-832-1117,http://naver.me/FCb2DiVn,Y,Y,"공용,내부",N,N,N,N,N,2021-09-13
굿프라임호텔,숙박/휴양,2.64E+18,부산광역시,강서구,지사동,,1196-4,2644011400,2644056000,2.64E+11,과학산단2로,12,128.8309512,35.14997988,N,051-832-6660,https://goodprimehotel.modoo.at/,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
헤르몬호텔,숙박/휴양,2.64E+18,부산광역시,강서구,지사동,,1197-4,2644011400,2644056000,2.64E+11,과학산단2로10번길,23,128.8322324,35.15009789,N,051-972-0077,https://hermonhotel.modoo.at,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
투썸게스트하우스앤펜션,숙박/휴양,2.64E+18,부산광역시,강서구,천성동,,1583,2644012100,2644058000,,,,128.8096954,35.04294899,Y,051-832-8870,,,,,,,,,,2021-09-27
우리펜션,숙박/휴양,2.64E+18,부산광역시,강서구,천성동,,514,2644012100,2644058000,,,,128.8163069,35.02566624,Y,,,,,,,,,,,2021-09-27
어울림쉼터펜션,숙박/휴양,2.64E+18,부산광역시,강서구,천성동,,432,2644012100,2644058000,2.64E+11,가덕해안로,883,128.8145275,35.02280798,Y,,,,,,,,,,,2021-09-27
갈릴리펜션,숙박/휴양,2.64E+18,부산광역시,강서구,천성동,,981,2644012100,2644058000,2.64E+11,가덕해안로,761,128.8146009,35.03046001,Y,,,,,,,,,,,2021-09-27
카리브의일몰,숙박/휴양,2.64E+18,부산광역시,강서구,천성동,,1335-9,2644012100,2644058000,2.64E+11,가덕해안로,712,128.8111763,35.03344314,N,,https://blog.naver.com/freedomapart,Y,Y,"공용,내부",N,N,N,N,N,2021-10-26
우진펜션,숙박/휴양,2.64E+18,부산광역시,강서구,천성동,,836-1,2644012100,2644058000,2.64E+11,가덕해안로,735,128.8123775,35.0315126,N,,http://www.xn--sk4bt1htzc9vo.kr/,Y,Y,"공용,내부",N,N,N,N,N,2021-09-27
가덕도그린빌펜션,숙박/휴양,2.64E+18,부산광역시,강서구,천성동,,1447,2644012100,2644058000,2.64E+11,가덕해안로665번길,9,128.8133261,35.03744273,Y,,,,,,,,,,,2021-09-24
전원별장,숙박/휴양,2.64E+18,부산광역시,강서구,천성동,,1437-4,2644012100,2644058000,2.64E+11,가덕해안로665번길,29,128.8140856,35.03697853,Y,,,,,,,,,,,2021-10-28
가덕부들펜션,숙박/휴양,2.64E+18,부산광역시,강서구,천성동,,101-7,2644012100,2644058000,2.64E+11,가덕해안로773번길,250-1,128.8247616,35.03166293,N,,http://가덕도펜션.net,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
로뎀펜션,숙박/휴양,2.64E+18,부산광역시,강서구,천성동,,101-9,2644012100,2644058000,2.64E+11,가덕해안로773번길,238,128.8241144,35.03174159,N,,http://010-2918-6536.1004114.co.kr,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
꿈에그린펜션,숙박/휴양,2.64E+18,부산광역시,강서구,천성동,,107-3,2644012100,2644058000,2.64E+11,가덕해안로773번길,239,128.8242522,35.0320609,N,,http://holydream.co.kr/,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
자연애펜션,숙박/휴양,2.64E+18,부산광역시,강서구,천성동,,101-6,2644012100,2644058000,2.64E+11,가덕해안로773번길,250,128.8248,35.03179172,Y,,,,,,,,,,,2021-09-24
가덕도펜션민박,숙박/휴양,2.64E+18,부산광역시,강서구,천성동,,775,2644012100,2644058000,2.64E+11,가덕해안로821번길,90-16,128.8176455,35.02841583,N,070-4251-0481,http://xn--o39a22lsjo77b8qv.kr/,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
초록펜션,숙박/휴양,2.64E+18,부산광역시,강서구,천성동,,557,2644012100,2644058000,2.64E+11,가덕해안로821번길,Nov-52,128.8168296,35.02659721,N,,http://blog.naver.com/greenps_1,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
노을빛펜션,숙박/휴양,2.64E+18,부산광역시,강서구,천성동,,749,2644012100,2644058000,2.64E+11,가덕해안로821번길,60-50,128.8186208,35.02731297,N,,http://naver.me/xJNodEsK,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
은행나무펜션,숙박/휴양,2.64E+18,부산광역시,강서구,천성동,,556,2644012100,2644058000,2.64E+11,가덕해안로821번길,Sep-52,128.8167941,35.02668722,N,,http://naver.me/x6PtYc48,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
가덕도힐링민박펜션,숙박/휴양,2.64E+18,부산광역시,강서구,천성동,,610,2644012100,2644058000,2.64E+11,가덕해안로821번길,Jan-63,128.8162801,35.02727428,N,,http://healingmb.com/,Y,Y,"공용,내부",N,N,N,N,N,2021-09-24
펜션GALLERY가덕,숙박/휴양,2.64E+18,부산광역시,강서구,천성동,,33,2644012100,2644058000,2.64E+11,서천로42번길,52-32,128.8225881,35.03410714,N,,http://gallerygaduc.modoo.at,Y,Y,"공용,내부",N,N,N,N,N,2021-09-17
백수장,숙박/휴양,2.64E+18,부산광역시,금정구,구서동,,470-1,2641010700,2641068000,2.64E+11,금강로,402,129.0875086,35.24362832,N,,http://naver.me/GsTVlQXF,N,Y,"공용,내부",N,N,N,N,N,2021-11-06
호텔G&G,숙박/휴양,2.64E+18,부산광역시,금정구,구서동,,420-40,2641010700,2641068000,2.64E+11,금정로,242,129.0919301,35.24486672,N,051-513-9123,http://naver.me/5TvdoZ4X,Y,Y,"구분,내부",N,Y,N,N,N,2021-11-04
카카오호텔,숙박/휴양,2.64E+18,부산광역시,금정구,구서동,,420-52,2641010700,2641068000,2.64E+11,금정로,236,129.0914817,35.24438044,N,051-581-1223,http://naver.me/5uxiflAn,Y,Y,"공용,내부",N,Y,N,Y,N,2021-10-12
호텔캔들,숙박/휴양,2.64E+18,부산광역시,금정구,구서동,,415-30,2641010700,2641068000,2.64E+11,금정로231번길,8,129.0904558,35.2449448,N,051-513-9100,http://naver.me/xXr6zXdc,Y,Y,"공용,내부",N,Y,N,Y,N,2021-10-12
제니스호텔,숙박/휴양,2.64E+18,부산광역시,금정구,구서동,,415-28,2641010700,2641068000,2.64E+11,금정로233번길,9,129.0907235,35.2449823,N,051-518-6888,http://naver.me/F36EX7oE,Y,Y,"공용,내부",N,Y,N,Y,N,2021-10-12
제니스호텔,숙박/휴양,2.64E+18,부산광역시,금정구,구서동,,415-28,2641010700,2641068000,2.64E+11,금정로233번길,9,129.0907183,35.24497552,N,051-518-6888,http://naver.me/F36EX7oE,Y,Y,"공용,내부",N,Y,N,Y,N,2021-10-12
쇼모텔,숙박/휴양,2.64E+18,부산광역시,금정구,구서동,,Oct-84,2641010700,2641068000,2.64E+11,금정로237번길,14,129.0917448,35.24602969,N,051-515-3020,http://naver.me/GyeGjPK5,Y,Y,"공용,내부",N,N,N,N,N,2021-10-14
호텔야자,숙박/휴양,2.64E+18,부산광역시,금정구,구서동,,Dec-85,2641010700,2641068000,2.64E+11,금정로237번길,28,129.0916896,35.24743924,N,,http://www.yanolja.com/places/25829,Y,Y,"공용,내부",N,Y,N,N,N,2021-11-04
9월호텔,숙박/휴양,2.64E+18,부산광역시,금정구,구서동,,Aug-85,2641010700,2641068000,2.64E+11,금정로237번길,34,129.0916538,35.24787274,Y,,,,,,,,,,,2021-10-08
보브호텔,숙박/휴양,2.64E+18,부산광역시,금정구,구서동,,Nov-85,2641010700,2641068000,2.64E+11,금정로237번길,30,129.0916855,35.247583,Y,051-515-6433,,,,,,,,,,2021-10-08
넘버25호텔,숙박/휴양,2.64E+18,부산광역시,금정구,구서동,,85-29,2641010700,2641068000,2.64E+11,금정로237번길,36,129.0916546,35.24798471,Y,051-515-3628,,,,,,,,,,2021-10-08
로즈베이호텔,숙박/휴양,2.64E+18,부산광역시,금정구,구서동,,Aug-85,2641010700,2641068000,2.64E+11,금정로237번길,34,129.0916692,35.24786181,Y,,,,,,,,,,,2021-10-08
브라운도트 호텔 구서역점,숙박/휴양,2.64E+18,부산광역시,금정구,구서동,,Jul-85,2641010700,2641068000,2.64E+11,중앙대로,1833,129.0918741,35.24796884,N,051-516-3338,http://www.wnhotels.com/browndot/guseo,Y,Y,"공용,내부",N,Y,N,Y,N,2021-09-06
티에스호텔,숙박/휴양,2.64E+18,부산광역시,금정구,구서동,,175-12,2641010700,2641069000,2.64E+11,중앙대로,1931,129.0909085,35.25682316,N,051-512-4430,https://tshotel85.modoo.at/,Y,Y,"공용,내부",N,Y,N,Y,N,2021-09-07
호텔프렌치코드,숙박/휴양,2.64E+18,부산광역시,금정구,구서동,,420-5,2641010700,2641068000,2.64E+11,중앙대로1805번길,16,129.0922909,35.24489876,N,051-515-8143,https://frenchcodegs.modoo.at/,Y,Y,"공용,내부",N,Y,N,Y,N,2021-09-02
호텔시카고,숙박/휴양,2.64E+18,부산광역시,금정구,구서동,,175-17,2641010700,2641069000,2.64E+11,중앙대로1929번길,08월 16일,129.0908739,35.25719867,N,051-517-0205,http://naver.me/xgajr8hA,Y,Y,"구분,내부",N,Y,N,N,N,2021-08-31
파크모텔,숙박/휴양,2.64E+18,부산광역시,금정구,구서동,,177-28,2641010700,2641069000,2.64E+11,중앙대로1930번길,9,129.0920876,35.25668701,Y,,,,,,,,,,,2021-08-31
목화장여관,숙박/휴양,2.64E+18,부산광역시,금정구,구서동,,175-33,2641010700,2641069000,2.64E+11,중앙대로1945번길,9,129.0906196,35.25772178,N,051-582-0123,http://naver.me/GLKPMJ67,Y,Y,"구분,내부",N,Y,N,N,N,2021-08-31
드림모텔,숙박/휴양,2.64E+18,부산광역시,금정구,금사동,,Jun-68,2641011100,2641055500,2.64E+11,개좌로,Jul-89,129.1125727,35.22077248,N,051-523-3171,http://naver.me/GAi8Bzxj,Y,Y,"공용,내부",N,Y,N,N,N,2021-10-19
천우장,숙박/휴양,2.64E+18,부산광역시,금정구,금사동,,68-32,2641011100,2641055500,2.64E+11,개좌로,Jan-71,129.1116956,35.21982244,N,,http://naver.me/FlJ5UfmW,N,Y,"공용,내부",N,N,N,N,N,2021-10-19
V1모텔,숙박/휴양,2.64E+18,부산광역시,금정구,금사동,,104-16,2641011100,2641055500,2.64E+11,공단로,15,129.1106617,35.21633713,N,051-526-2670,https://seodongv1.modoo.at/,Y,Y,"공용,내부",N,N,N,Y,N,2021-10-13
V1모텔,숙박/휴양,2.64E+18,부산광역시,금정구,금사동,,104-16,2641011100,2641055500,2.64E+11,공단로,15,129.1106485,35.21632982,N,051-526-2670,https://seodongv1.modoo.at/,Y,Y,"공용,내부",N,Y,N,Y,N,2021-10-19
새동진장여관,숙박/휴양,2.64E+18,부산광역시,금정구,금사동,,145-30,2641011100,2641055500,2.64E+11,반송로,414-1,129.1094521,35.21398014,N,051-528-5826,http://naver.me/5lZpUEoO,Y,Y,"공용,내부",N,Y,N,N,N,2021-10-19
조이게스트하우스,숙박/휴양,2.64E+18,부산광역시,금정구,금사동,,145-16,2641011100,2641055500,2.64E+11,반송로,414,129.1094291,35.21409549,Y,,,,,,,,,,,2021-10-19
새동진장여관,숙박/휴양,2.64E+18,부산광역시,금정구,금사동,,145-30,2641011100,2641055500,2.64E+11,반송로,414-1,129.1094485,35.21396062,N,051-528-5826,http://naver.me/5lZpUEoO,Y,Y,"공용,내부",N,Y,N,N,N,2021-10-19
조이,숙박/휴양,2.64E+18,부산광역시,금정구,금사동,,145-16,2641011100,2641055500,2.64E+11,반송로,414,129.1094288,35.21409206,Y,,,,,,,,,,,2021-10-19
